ScenarioId,Title,TopologyId,EvidenceClass,ScenarioClass,RuntimeImplementationStatus,PrimaryAnalyzers,DependencyStatus,RequiredCapabilities,FaultClass,RequireExplicitApproval,RequireIndependentManagementPath,ExternalEvidenceGateIds,StatePreconditions,AssertionBoundary,CleanupPolicy
LAB-AVAIL-001,Manual Linux availability-group failover,CTR-TRIPLE,REAL,AVAILABILITY,PLANNED_NOT_IMPLEMENTED,USP_AvailabilityGroups;USP_AvailabilityDeepAnalysis;USP_DiagnosticFindings,AVAILABLE,DOCKER_ENGINE;COMPOSE_PROVIDER;MULTI_CONTAINER_NETWORK;AVAILABILITY_GROUPS_LINUX,CONTROLLED_ROLE_TRANSITION,0,0,LAB-GATE-WAVE4-MULTI-CONTAINER,All replicas report the intended baseline role and synchronization state before the transition. The management network remains reachable independently of the data path.,"Assert role and synchronization-state transitions, not failover duration or an exact queue value.",REGISTERED_OBJECT_IDS_ONLY
LAB-AVAIL-002,Availability-group suspend queue and seeding error,CTR-TRIPLE,REAL,AVAILABILITY,PLANNED_NOT_IMPLEMENTED,USP_AvailabilityGroups;USP_AvailabilityDeepAnalysis;USP_DiagnosticFindings,AVAILABLE,DOCKER_ENGINE;COMPOSE_PROVIDER;MULTI_CONTAINER_NETWORK;AVAILABILITY_GROUPS_LINUX,CONTROLLED_REPLICA_STATE,0,0,LAB-GATE-WAVE4-MULTI-CONTAINER,The availability group is healthy before the selected replica state is changed. The selected replica and database are bound to the active run ID.,"Assert the reported suspended, queued, or seeding state and source status; do not assert exact queue growth.",REGISTERED_OBJECT_IDS_ONLY
LAB-LS-001,Log Shipping backup copy and restore lag,CTR-PAIR,REAL,LOG_SHIPPING,PLANNED_NOT_IMPLEMENTED,USP_LogShippingStatus;USP_BackupChainAnalysis;USP_InfrastructureAnalysis,AVAILABLE,DOCKER_ENGINE;COMPOSE_PROVIDER;MULTI_CONTAINER_NETWORK;SQL_AGENT,NONE,0,0,LAB-GATE-WAVE4-MULTI-CONTAINER,"The synthetic primary and secondary databases have an initialized log-shipping chain. The backup, copy, and restore metadata is scoped to the active run.","Assert ordered backup, copy, and restore evidence with a visible lag state; do not assert a fixed elapsed time.",REGISTERED_OBJECT_IDS_ONLY
LAB-LS-002,Interrupted Log Shipping transfer,CTR-PAIR,REAL,LOG_SHIPPING,PLANNED_NOT_IMPLEMENTED,USP_LogShippingStatus;USP_AgentMonitoringAnalysis;USP_InfrastructureAnalysis,AVAILABLE,DOCKER_ENGINE;COMPOSE_PROVIDER;MULTI_CONTAINER_NETWORK;NETWORK_FAULT_LAYER;SQL_AGENT,BOUNDED_NETWORK_PATH,1,1,LAB-GATE-WAVE4-MULTI-CONTAINER;LAB-GATE-WAVE4-NETWORK-FAULT,A healthy synthetic log-shipping cycle has completed before the transfer path is interrupted. The management path is outside the faulted data segment.,Assert the interrupted transfer or delayed copy/restore state and recovery after fault removal; do not assert exact retry counts.,REGISTERED_OBJECT_IDS_ONLY
LAB-REPL-001,Transactional-replication backlog,CTR-TRIPLE,REAL,REPLICATION,PLANNED_NOT_IMPLEMENTED,USP_ReplicationStatus;USP_DataCaptureDeepAnalysis;USP_InfrastructureAnalysis,AVAILABLE,DOCKER_ENGINE;COMPOSE_PROVIDER;MULTI_CONTAINER_NETWORK;SQL_AGENT;TRANSACTIONAL_REPLICATION,CONTROLLED_AGENT_PAUSE,0,0,LAB-GATE-WAVE4-MULTI-CONTAINER,"Publisher, distributor, and subscriber report a healthy synthetic baseline. The publication, subscription, and agents are run-owned.",Assert backlog and agent-state evidence without asserting an exact command count or delivery rate.,REGISTERED_OBJECT_IDS_ONLY
LAB-REPL-002,Stopped replication agent,CTR-TRIPLE,REAL,REPLICATION,PLANNED_NOT_IMPLEMENTED,USP_ReplicationStatus;USP_AgentMonitoringAnalysis;USP_DataCaptureDeepAnalysis,AVAILABLE,DOCKER_ENGINE;COMPOSE_PROVIDER;MULTI_CONTAINER_NETWORK;SQL_AGENT;TRANSACTIONAL_REPLICATION,CONTROLLED_AGENT_STOP,0,0,LAB-GATE-WAVE4-MULTI-CONTAINER,The selected synthetic replication agent has completed at least one healthy cycle. The job identifier is registered in the active run state.,Assert the stopped or failed agent state and related backlog visibility; do not infer root cause from job state alone.,REGISTERED_OBJECT_IDS_ONLY
LAB-REPL-003,Unavailable subscriber,CTR-TRIPLE,REAL,REPLICATION,PLANNED_NOT_IMPLEMENTED,USP_ReplicationStatus;USP_DataCaptureDeepAnalysis;USP_CurrentRequests,AVAILABLE,DOCKER_ENGINE;COMPOSE_PROVIDER;MULTI_CONTAINER_NETWORK;NETWORK_FAULT_LAYER;TRANSACTIONAL_REPLICATION,BOUNDED_NETWORK_PARTITION,1,1,LAB-GATE-WAVE4-MULTI-CONTAINER;LAB-GATE-WAVE4-NETWORK-FAULT,The subscriber has acknowledged a healthy baseline before isolation. The management path remains reachable and the data-path rule is registered by run ID.,"Assert subscriber unavailability, agent error or backlog evidence, and recovery after removing the fault; do not assert a fixed timeout.",REGISTERED_OBJECT_IDS_ONLY
LAB-BACKUP-001,Synthetic backup chain,CTR-SINGLE,REAL,BACKUP,PLANNED_NOT_IMPLEMENTED,USP_BackupChainAnalysis;USP_BackupRecovery;USP_DiagnosticFindings,AVAILABLE,DOCKER_ENGINE;COMPOSE_PROVIDER;BOUNDED_BACKUP_TARGET,NONE,0,0,LAB-GATE-WAVE4-MULTI-CONTAINER,The target directory is a run-owned bounded storage path. The synthetic database uses the declared recovery model and run marker.,"Assert full, differential, and log-chain relationships and metadata status; do not treat file throughput as a benchmark.",REGISTERED_OBJECT_IDS_ONLY
LAB-BACKUP-002,Slow or unavailable backup target,CTR-SINGLE,EMULATED_INFRASTRUCTURE,BACKUP,PLANNED_NOT_IMPLEMENTED,USP_BackupChainAnalysis;USP_CurrentRequests;USP_CurrentIO;USP_DiagnosticFindings,AVAILABLE,DOCKER_ENGINE;COMPOSE_PROVIDER;BOUNDED_BACKUP_TARGET;EXPLICIT_DESTRUCTIVE_APPROVAL,BOUNDED_BACKUP_TARGET,1,0,LAB-GATE-WAVE4-NETWORK-FAULT,"The fault target is a small run-owned path that is not the image cache, system path, or framework path. A healthy synthetic backup completes before the target fault is enabled.","Assert a bounded failure, timeout, or partial-evidence status and successful recovery; do not assert exact latency or I/O waits.",REGISTERED_OBJECT_IDS_ONLY
LAB-NET-001,Network latency jitter and bandwidth limit,HV-CROSS-PLATFORM,EMULATED_INFRASTRUCTURE,NETWORK,PLANNED_NOT_IMPLEMENTED,USP_CurrentRequests;USP_CurrentWaits;USP_ServerHealthAnalysis;USP_DiagnosticFindings,AVAILABLE,HYPER_V;CONTAINER_ENGINE;NETWORK_FAULT_LAYER;EXPLICIT_DESTRUCTIVE_APPROVAL,TC_NETEM_DELAY_RATE,1,1,LAB-GATE-WAVE4-NETWORK-FAULT,The selected data segment and management segment are separate and registered. The baseline connection succeeds before the seeded fault profile is applied.,"Assert connection, timeout, queue, or wait-context changes and recovery; do not assert exact packet statistics or wait duration.",REGISTERED_OBJECT_IDS_ONLY
LAB-NET-002,Packet loss duplication and reordering,HV-CROSS-PLATFORM,EMULATED_INFRASTRUCTURE,NETWORK,PLANNED_NOT_IMPLEMENTED,USP_CurrentRequests;USP_CurrentWaits;USP_ServerHealthAnalysis;USP_DiagnosticFindings,AVAILABLE,HYPER_V;CONTAINER_ENGINE;NETWORK_FAULT_LAYER;EXPLICIT_DESTRUCTIVE_APPROVAL,TC_NETEM_PACKET_FAULT,1,1,LAB-GATE-WAVE4-NETWORK-FAULT,The data-path interface is run-owned and distinct from management. The seeded fault profile has a hard duration and rate ceiling.,"Assert a bounded degraded or failed SQL path and recovery after rule removal; do not assert exact loss, duplication, or reordering counts.",REGISTERED_OBJECT_IDS_ONLY
LAB-NET-003,Bounded network partition,HV-CROSS-PLATFORM,EMULATED_INFRASTRUCTURE,NETWORK,PLANNED_NOT_IMPLEMENTED,USP_AvailabilityGroups;USP_ReplicationStatus;USP_CurrentRequests;USP_DiagnosticFindings,AVAILABLE,HYPER_V;CONTAINER_ENGINE;NETWORK_FAULT_LAYER;EXPLICIT_DESTRUCTIVE_APPROVAL,BOUNDED_PARTITION,1,1,LAB-GATE-WAVE4-NETWORK-FAULT,The management path is proven outside the selected partition. An automatic expiry and an independent cleanup path are registered before the partition is applied.,Assert only the selected relationship becomes unavailable and returns after cleanup; do not claim a physical host or site failure.,REGISTERED_OBJECT_IDS_ONLY
LAB-NET-004,DNS port and TLS failure,CTR-PAIR,REAL,NETWORK,PLANNED_NOT_IMPLEMENTED,USP_CurrentRequests;USP_ErrorLogAnalysis;USP_ServerHealthAnalysis;USP_DiagnosticFindings,AVAILABLE,DOCKER_ENGINE;COMPOSE_PROVIDER;MULTI_CONTAINER_NETWORK,ENDPOINT_CONFIGURATION,1,1,LAB-GATE-WAVE4-MULTI-CONTAINER,"The healthy synthetic endpoint succeeds before one exact DNS, port, or TLS property is changed. The original configuration is captured in run state without persisting secrets.","Assert the specific connection failure class and restoration; do not include certificate private material, credentials, or raw environment paths.",REGISTERED_OBJECT_IDS_ONLY
LAB-AGENT-001,Failed long and disabled SQL Agent job,CTR-SINGLE,REAL,SQL_AGENT,PLANNED_NOT_IMPLEMENTED,USP_AgentStatus;USP_AgentJobs;USP_AgentMonitoringAnalysis;USP_DiagnosticFindings,AVAILABLE,DOCKER_ENGINE;COMPOSE_PROVIDER;SQL_AGENT,CONTROLLED_JOB_STATE,0,0,LAB-GATE-WAVE4-MULTI-CONTAINER,All job names and schedules use the synthetic run token. No existing job is modified or selected by a partial name.,"Assert failed, long-running, and disabled job states separately; do not infer business impact from job status alone.",REGISTERED_OBJECT_IDS_ONLY
LAB-BROKER-001,Service Broker queue and transmission backlog,CTR-SINGLE,REAL,SERVICE_BROKER,PLANNED_NOT_IMPLEMENTED,USP_ServiceBrokerAnalysis;USP_DiagnosticFindings,AVAILABLE,DOCKER_ENGINE;COMPOSE_PROVIDER;SERVICE_BROKER,CONTROLLED_QUEUE_STATE,0,0,LAB-GATE-WAVE4-MULTI-CONTAINER,"The synthetic broker service completes a healthy dialog before queue state changes. Queue, service, route, and contract identifiers are run-owned.",Assert queue-disabled or transmission-backlog metadata without reading message bodies or asserting exact queue growth.,REGISTERED_OBJECT_IDS_ONLY
LAB-DTC-001,Successful and interrupted distributed transaction,CTR-PAIR,REAL,DISTRIBUTED_TRANSACTION,PLANNED_NOT_IMPLEMENTED,USP_CurrentTransactions;USP_CurrentRequests;USP_CurrentBlocking;USP_DiagnosticFindings,AVAILABLE_WITH_PLATFORM_LIMIT,DOCKER_ENGINE;COMPOSE_PROVIDER;MULTI_CONTAINER_NETWORK;DISTRIBUTED_TRANSACTION_COORDINATOR,BOUNDED_REMOTE_PATH,1,1,LAB-GATE-WAVE4-MULTI-CONTAINER,The successful synthetic distributed transaction completes before the interrupted path is tested. Both participants and the transaction marker are run-owned.,"Assert visible transaction, blocking, or failure-isolation evidence; do not claim full MSDTC platform coverage from one container mode.",REGISTERED_OBJECT_IDS_ONLY
LAB-LINK-001,Linked Server success timeout and outage,CTR-PAIR,REAL,LINKED_SERVER,PLANNED_NOT_IMPLEMENTED,USP_LinkedServerAnalysis,BLOCKED_BY_OPS_005,DOCKER_ENGINE;COMPOSE_PROVIDER;MULTI_CONTAINER_NETWORK,BOUNDED_REMOTE_PATH,1,1,LAB-GATE-WAVE4-MULTI-CONTAINER,The linked-server analyzer from OPS-005 must exist before runtime actions may be marked implemented. Any opt-in connectivity action must use an isolated run-owned remote endpoint.,This contract does not promise a per-call timeout for sp_testlinkedserver and does not alter server timeout configuration.,REGISTERED_OBJECT_IDS_ONLY
LAB-MAINT-001,Synthetic maintenance operation state,CTR-SINGLE,REAL,MAINTENANCE,PLANNED_NOT_IMPLEMENTED,USP_MaintenanceOperations;USP_AgentMonitoringAnalysis;USP_DiagnosticFindings,AVAILABLE,DOCKER_ENGINE;COMPOSE_PROVIDER;SQL_AGENT,CONTROLLED_MAINTENANCE_STATE,0,0,LAB-GATE-WAVE4-MULTI-CONTAINER,The synthetic maintenance job and target object are registered by the active run ID. The baseline has no paused or active operation before the bounded state is created.,"Assert paused or active maintenance evidence and its cleanup; do not issue RESUME, ABORT, KILL, or change an existing job.",REGISTERED_OBJECT_IDS_ONLY
