DependencyClass,ReferenceModel,Binding,Required,MigrationDecision
FRAMEWORK_SCHEMA,[monitor],STATIC_INTERNAL,REQUIRED,Installation creates/uses the framework schema; no external dependency.
INSTALLATION_DATABASE,Current database selected by USE,DEPLOYMENT_CONTEXT,REQUIRED,Name is supplied by the operator; no concrete database name is stored in executable logic.
OPTIONAL_OPERATIONAL_LOGGING_ADAPTER,Configured external three-part names,NOT_IMPLEMENTED_OPTIONAL,NO,Earlier approaches used environment-specific logging sources. Only the adapter requirement is retained; no object names or static dependency are migrated.
OPTIONAL_METADATA_ADAPTER,Configured external three-part names,NOT_IMPLEMENTED_OPTIONAL,NO,"Metadata enrichment may be added later behind a dynamic, validated adapter contract."
APPLICATION_QUEUE_OR_DOMAIN_OBJECTS,External application objects,EXCLUDED,NO,Application-specific queues and domain tables are outside the generic diagnostic core.
EXTERNAL_SPLIT_OR_HELPER_FUNCTION,External helper function,REPLACED,NO,Replaced by framework-owned parser functions under [monitor].
LEGACY_DIAGNOSTIC_HELPER,External or legacy helper object,EXCLUDED,NO,No legacy helper object is required by the framework.
REPLICATION_DISTRIBUTION_DATABASE,SQL Server configured distributor database,DYNAMIC_SYSTEM_DEPENDENCY,NO,Discovered dynamically; distribution details are optional and protected by a deep-analysis class.
EXTENDED_EVENTS_FILE_TARGET,Configured event-file target path,DYNAMIC_RUNTIME_SOURCE,NO,Read only when explicitly requested and when an existing session/target exposes a usable path.
