ProcedureName,ResultName,IsConsoleDefault,IsRawExportable,IsTableExportable,SourceTable,SchemaVersion,SourceSchema,EmptyConsoleMessage
USP_CheckAnalyseAccess,access,1,1,1,#CheckAnalyseAccess_Access,1,"[AnalysisClass] varchar(64) NOT NULL , [AnalysisLevel] varchar(16) NOT NULL , [RequiresGroupGate] bit NOT NULL , [OriginalLoginName] sysname NULL , [EffectiveLoginName] sysname NULL , [IsSysadmin] bit NULL , [ActivePolicyCount] bigint NULL , [RelevantPolicyCount] bigint NULL , [IsAllowed] bit NOT NULL , [AccessReason] varchar(20) NULL , [MatchedGroupCount] bigint NULL , [StatusCode] varchar(40) NOT NULL",Keine fachlichen Ergebnisse
USP_CheckFrameworkCapabilities,capabilities,1,1,1,#CheckFrameworkCapabilities_Capabilities,1,"[FeatureOrdinal] smallint NOT NULL , [FeatureCode] varchar(64) NOT NULL , [FeatureName] nvarchar(200) NOT NULL , [ScopeType] varchar(16) NOT NULL , [AnalysisClass] varchar(64) NOT NULL , [AnalysisLevel] varchar(16) NOT NULL , [IsResourceIntensive] bit NOT NULL , [DatabaseName] sysname NULL , [ServerMajorVersion] int NULL , [ServerProductVersion] nvarchar(128) NULL , [MinimumMajorVersion] tinyint NOT NULL , [VersionSupported] bit NOT NULL , [GroupCheckApplied] bit NOT NULL , [GroupAccessAllowed] bit NULL , [AccessReason] varchar(20) NULL , [RequiredPermissionScope] varchar(16) NOT NULL , [PermissionCheckType] varchar(24) NOT NULL , [RequiredPermission] sysname NULL , [PermissionDisplayText] nvarchar(128) NULL , [HasRequiredPermission] bit NULL , [IsQueryable] bit NOT NULL , [IsFeatureEnabled] bit NULL , [IsUsable] bit NOT NULL , [StatusCode] varchar(40) NOT NULL , [ErrorNumber] int NULL , [ErrorMessage] nvarchar(2048) NULL , [Description] nvarchar(1000) NULL",Keine fachlichen Ergebnisse
USP_CurrentSessions,sessions,1,1,1,#CurrentSessions_Result,2,"[SessionId] smallint NOT NULL, [RequestId] int NULL, [IsUserProcess] bit NOT NULL , [SessionStatus] nvarchar(30) NULL, [RequestStatus] nvarchar(30) NULL , [LoginName] nvarchar(128) NULL, [OriginalLoginName] nvarchar(128) NULL , [HostName] nvarchar(128) NULL, [ProgramName] nvarchar(128) NULL , [IsToolBackgroundQuery] bit NOT NULL , [ToolBackgroundRuleCode] varchar(64) NULL , [ToolBackgroundCategory] varchar(40) NULL , [ToolBackgroundDetection] varchar(40) NULL , [ToolBackgroundConfidence] varchar(16) NULL , [ClientInterfaceName] nvarchar(32) NULL, [LoginTime] datetime NULL , [LastRequestStartTime] datetime NULL, [LastRequestEndTime] datetime NULL , [DatabaseId] smallint NULL, [DatabaseName] sysname NULL , [OpenTransactionCount] int NULL, [TransactionIsolationLevel] nvarchar(40) NULL , [SessionCpuMs] int NULL, [SessionReads] bigint NULL, [SessionWrites] bigint NULL , [SessionLogicalReads] bigint NULL, [SessionMemoryMb] decimal(19,2) NULL , [SessionRowCount] bigint NULL, [RequestCpuMs] int NULL, [RequestElapsedMs] int NULL , [RequestLogicalReads] bigint NULL, [RequestReads] bigint NULL, [RequestWrites] bigint NULL , [BlockingSessionId] smallint NULL, [WaitType] nvarchar(120) NULL, [WaitTimeMs] int NULL , [WaitResource] nvarchar(256) NULL, [PercentComplete] real NULL , [ClientNetAddress] varchar(48) NULL, [NetTransport] nvarchar(40) NULL , [ProtocolType] nvarchar(40) NULL, [EncryptOption] nvarchar(40) NULL , [AuthScheme] nvarchar(40) NULL, [CurrentStatement] nvarchar(max) NULL , [BatchText] nvarchar(max) NULL",Keine aktiven Sessions
USP_CurrentRequests,requests,1,1,1,#CurrentRequests_Result,2,"[SessionId] smallint NOT NULL , [RequestId] int NOT NULL , [RequestStatus] nvarchar(30) NULL , [Command] nvarchar(32) NULL , [DatabaseId] smallint NULL , [DatabaseName] sysname NULL , [LoginName] nvarchar(128) NULL , [OriginalLoginName] nvarchar(128) NULL , [HostName] nvarchar(128) NULL , [ProgramName] nvarchar(128) NULL , [IsToolBackgroundQuery] bit NOT NULL , [ToolBackgroundRuleCode] varchar(64) NULL , [ToolBackgroundCategory] varchar(40) NULL , [ToolBackgroundDetection] varchar(40) NULL , [ToolBackgroundConfidence] varchar(16) NULL , [StartTime] datetime NULL , [ElapsedMs] int NULL , [CpuMs] int NULL , [LogicalReads] bigint NULL , [Reads] bigint NULL , [Writes] bigint NULL , [RowCount] bigint NULL , [PercentComplete] real NULL , [EstimatedCompletionTimeMs] bigint NULL , [BlockingSessionId] smallint NULL , [WaitType] nvarchar(120) NULL , [WaitTimeMs] int NULL , [LastWaitType] nvarchar(120) NULL , [WaitResource] nvarchar(256) NULL , [WaitingTaskCount] int NULL , [MaxTaskWaitMs] bigint NULL , [TaskWaitTypes] nvarchar(max) NULL , [RequestedMemoryMb] decimal(19,2) NULL , [GrantedMemoryMb] decimal(19,2) NULL , [UsedMemoryMb] decimal(19,2) NULL , [IdealMemoryMb] decimal(19,2) NULL , [Dop] smallint NULL , [ParallelWorkerCount] int NULL , [TransactionIsolationLevel] nvarchar(40) NULL , [OpenTransactionCount] int NULL , [OpenResultsetCount] int NULL , [TransactionId] bigint NULL , [ConnectionId] uniqueidentifier NULL , [SchedulerId] int NULL , [TaskAddress] varbinary(8) NULL , [NestLevel] int NULL , [WorkloadGroupId] int NULL , [WorkloadGroupName] sysname NULL , [ResourcePoolId] int NULL , [ResourcePoolName] sysname NULL , [StatementSqlHandle] varbinary(64) NULL , [StatementContextId] bigint NULL , [IsResumable] bit NULL , [ExecutingManagedCode] bit NULL , [ContextInfo] varbinary(128) NULL , [ClientNetAddress] varchar(48) NULL , [QueryHash] binary(8) NULL , [QueryPlanHash] binary(8) NULL , [SqlHandle] varbinary(64) NULL , [PlanHandle] varbinary(64) NULL , [SqlTextDatabaseId] int NULL , [SqlTextObjectId] int NULL , [SqlTextObjectNumber] smallint NULL , [SqlTextIsEncrypted] bit NULL , [ExecutionContextType] varchar(20) NULL , [ModuleDatabaseName] sysname NULL , [ModuleSchemaName] sysname NULL , [ModuleObjectName] sysname NULL , [ModuleType] char(2) NULL , [ModuleTypeDescription] nvarchar(60) NULL , [ModuleFullName] nvarchar(776) NULL , [HasStatementOffsets] bit NULL , [IsStatementOffsetValid] bit NULL , [StatementStartOffsetBytes] int NULL , [StatementEndOffsetBytes] int NULL , [StatementStartCharacter] int NULL , [StatementEndCharacter] int NULL , [StatementStartLine] int NULL , [StatementEndLine] int NULL , [CurrentStatementCharacterCount] int NULL , [CurrentStatementIsTruncated] bit NULL , [BatchTextCharacterCount] int NULL , [BatchTextIsTruncated] bit NULL , [CurrentStatement] nvarchar(max) NULL , [BatchText] nvarchar(max) NULL , [InputBufferEventType] nvarchar(256) NULL , [InputBufferParameterCount] smallint NULL , [InputBufferCharacterCount] int NULL , [InputBufferIsTruncated] bit NULL , [InputBufferText] nvarchar(max) NULL , PRIMARY KEY ([SessionId], [RequestId])",Keine aktiven Requests
USP_CurrentBlocking,blockingChains,1,1,1,#CurrentBlocking_BlockingChains,3,"[LeafSessionId] smallint NOT NULL , [BlockedSessionId] smallint NOT NULL , [BlockingSessionId] smallint NOT NULL , [RootBlockingSessionId] smallint NULL , [BlockingOwnerType] varchar(40) NULL , [BlockingOwnerDescription] nvarchar(512) NULL , [BlockingChain] nvarchar(4000) NULL , [ChainDepth] int NOT NULL , [IsCycle] bit NOT NULL , [WaitType] nvarchar(120) NULL , [WaitTimeMs] bigint NULL , [WaitResource] nvarchar(3072) NULL , [BlockingResourceType] nvarchar(60) NULL , [BlockingResourceDatabaseId] int NULL , [BlockingResourceDatabaseName] sysname NULL , [BlockingResourceSchemaName] sysname NULL , [BlockingResourceObjectId] int NULL , [BlockingResourceObjectName] sysname NULL , [BlockingResourceIndexId] int NULL , [BlockingResourceIndexName] sysname NULL , [BlockingResourcePartitionId] bigint NULL , [BlockingResourcePartitionNumber] int NULL , [BlockingResourceFileId] int NULL , [BlockingResourcePageId] bigint NULL , [BlockingResourceRowId] int NULL , [BlockingResourceMetadataSubtype] nvarchar(60) NULL , [BlockingResourceMetadataName] sysname NULL , [BlockingResourcePageTypeDesc] nvarchar(60) NULL , [BlockingResourceName] nvarchar(1024) NULL , [BlockingResourceResolutionStatus] varchar(40) NULL , [BlockedLoginName] nvarchar(128) NULL , [BlockedHostName] nvarchar(128) NULL , [BlockedProgramName] nvarchar(128) NULL , [BlockedIsToolBackgroundQuery] bit NOT NULL , [BlockedToolBackgroundRuleCode] varchar(64) NULL , [BlockedToolBackgroundCategory] varchar(40) NULL , [BlockedToolBackgroundDetection] varchar(40) NULL , [BlockedToolBackgroundConfidence] varchar(16) NULL , [BlockerLoginName] nvarchar(128) NULL , [BlockerHostName] nvarchar(128) NULL , [BlockerProgramName] nvarchar(128) NULL , [RootBlockerLoginName] nvarchar(128) NULL , [RootBlockerHostName] nvarchar(128) NULL , [RootBlockerProgramName] nvarchar(128) NULL , [RootBlockerSessionStatus] nvarchar(30) NULL , [RootBlockerRequestStatus] nvarchar(30) NULL , [RootBlockerOpenTransactionCount] int NULL , [RootBlockerLastRequestStartTime] datetime NULL , [RootBlockerLastRequestEndTime] datetime NULL , [RootIsToolBackgroundQuery] bit NOT NULL , [RootToolBackgroundRuleCode] varchar(64) NULL , [RootToolBackgroundCategory] varchar(40) NULL , [RootToolBackgroundDetection] varchar(40) NULL , [RootToolBackgroundConfidence] varchar(16) NULL , [BlockedStatement] nvarchar(max) NULL , [BlockerStatement] nvarchar(max) NULL , [RootBlockerStatementSource] varchar(32) NULL , [RootBlockerStatement] nvarchar(max) NULL",Keine Blocking-Ketten
USP_CurrentWaits,currentTasks,1,1,1,#CurrentWaits_Tasks,2,"[SessionId] smallint NULL,[ExecContextId] int NULL,[WaitDurationMs] bigint NULL,[WaitType] nvarchar(120) NULL,[BlockingSessionId] smallint NULL,[ResourceDescription] nvarchar(3072) NULL,[SessionStatus] nvarchar(30) NULL,[RequestStatus] nvarchar(30) NULL,[LoginName] nvarchar(128) NULL,[HostName] nvarchar(128) NULL,[ProgramName] nvarchar(128) NULL,[IsToolBackgroundQuery] bit NOT NULL,[ToolBackgroundRuleCode] varchar(64) NULL,[ToolBackgroundCategory] varchar(40) NULL,[ToolBackgroundDetection] varchar(40) NULL,[ToolBackgroundConfidence] varchar(16) NULL,[DatabaseId] smallint NULL,[Command] nvarchar(32) NULL,[CurrentStatement] nvarchar(max) NULL,[WaitGroup] nvarchar(64) NULL,[WaitSeverity] tinyint NULL,[IsGenerallyBenign] bit NULL,[WaitMeaning] nvarchar(1000) NULL,[WaitTypicalOccurrence] nvarchar(1200) NULL,[HighWaitImpact] nvarchar(1200) NULL,[RecommendedChecks] nvarchar(1500) NULL,[WaitHelpUrl] nvarchar(500) NULL,[DescriptionSource] varchar(40) NULL,[DescriptionQuality] varchar(40) NULL,[CatalogMatchType] varchar(20) NULL",Keine aktiven Waits
USP_CurrentTransactions,transactions,1,1,1,#CurrentTransactions_Result,1,"[SessionId] smallint NOT NULL , [TransactionId] bigint NOT NULL , [TransactionBeginTimeUtc] datetime NULL , [TransactionAgeSeconds] bigint NULL , [TransactionType] int NULL , [TransactionState] int NULL , [OpenTransactionCount] int NULL , [LoginName] nvarchar(128) NULL , [HostName] nvarchar(128) NULL , [ProgramName] nvarchar(128) NULL , [SessionStatus] nvarchar(30) NULL , [RequestStatus] nvarchar(30) NULL , [DatabaseId] int NULL , [DatabaseName] sysname NULL , [LogBytesUsed] bigint NULL , [LogBytesReserved] bigint NULL , [StatementText] nvarchar(max) NULL",Keine aktiven Transaktionen
USP_CurrentMemoryGrants,memoryGrants,1,1,1,#CurrentMemoryGrants_Result,1,"[SessionId] smallint NULL , [RequestId] int NULL , [SchedulerId] int NULL , [Dop] smallint NULL , [RequestTime] datetime NULL , [GrantTime] datetime NULL , [WaitTimeMs] bigint NULL , [IsWaiting] bit NOT NULL , [IsSmall] bit NULL , [RequestedMemoryMb] decimal(19,2) NULL , [RequiredMemoryMb] decimal(19,2) NULL , [GrantedMemoryMb] decimal(19,2) NULL , [UsedMemoryMb] decimal(19,2) NULL , [MaxUsedMemoryMb] decimal(19,2) NULL , [IdealMemoryMb] decimal(19,2) NULL , [GroupId] int NULL , [WorkloadGroupName] sysname NULL , [PoolId] int NULL , [PoolName] sysname NULL , [ResourceSemaphoreId] smallint NULL , [RequestMaxMemoryGrantPercent] decimal(9,4) NULL , [PoolMaxWorkspaceMemoryMb] decimal(19,2) NULL , [PoolTargetWorkspaceMemoryMb] decimal(19,2) NULL , [PoolUsedWorkspaceMemoryMb] decimal(19,2) NULL , [ConfiguredRequestMaxGrantMemoryMb] decimal(19,2) NULL , [TargetRequestMaxGrantMemoryMb] decimal(19,2) NULL , [HistoricalMaxRequestGrantMemoryMb] decimal(19,2) NULL , [RequestedOfRequestMaxPercent] decimal(9,2) NULL , [GrantedOfRequestMaxPercent] decimal(9,2) NULL , [UsedOfRequestMaxPercent] decimal(9,2) NULL , [MaxUsedOfRequestMaxPercent] decimal(9,2) NULL , [IdealOfRequestMaxPercent] decimal(9,2) NULL , [RequestedOfTargetMaxPercent] decimal(9,2) NULL , [GrantedOfTargetMaxPercent] decimal(9,2) NULL , [UsedOfGrantedPercent] decimal(9,2) NULL , [MaxUsedOfGrantedPercent] decimal(9,2) NULL , [SemaphoreTargetMemoryMb] decimal(19,2) NULL , [SemaphoreMaxTargetMemoryMb] decimal(19,2) NULL , [SemaphoreTotalMemoryMb] decimal(19,2) NULL , [SemaphoreAvailableMemoryMb] decimal(19,2) NULL , [SemaphoreGrantedMemoryMb] decimal(19,2) NULL , [SemaphoreUsedMemoryMb] decimal(19,2) NULL , [SemaphoreGranteeCount] int NULL , [SemaphoreWaiterCount] int NULL , [ReservedWorkerCount] bigint NULL , [UsedWorkerCount] bigint NULL , [MaxUsedWorkerCount] bigint NULL , [QueueId] smallint NULL , [WaitOrder] int NULL , [LoginName] nvarchar(128) NULL , [HostName] nvarchar(128) NULL , [ProgramName] nvarchar(128) NULL , [DatabaseId] smallint NULL , [DatabaseName] sysname NULL , [RequestStatus] nvarchar(30) NULL , [Command] nvarchar(32) NULL , [ElapsedMs] int NULL , [CpuMs] int NULL , [LogicalReads] bigint NULL , [CurrentStatement] nvarchar(max) NULL",Keine aktiven Memory Grants
USP_CurrentTempDB,sessions,1,1,1,#CurrentTempDB_Sessions,1,"[SessionId] smallint NOT NULL , [LoginName] nvarchar(128) NULL , [HostName] nvarchar(128) NULL , [ProgramName] nvarchar(128) NULL , [SessionStatus] nvarchar(30) NULL , [UserObjectsAllocatedMb] decimal(19,2) NOT NULL , [UserObjectsDeallocatedMb] decimal(19,2) NOT NULL , [UserObjectsNetMb] decimal(19,2) NOT NULL , [InternalObjectsAllocatedMb] decimal(19,2) NOT NULL , [InternalObjectsDeallocatedMb] decimal(19,2) NOT NULL , [InternalObjectsNetMb] decimal(19,2) NOT NULL , [TotalNetMb] decimal(19,2) NOT NULL",Keine aktive TempDB-Nutzung
USP_CurrentIO,moduleStatus,0,1,1,#CurrentIO_ModuleStatus,1,"[ModuleName] sysname NOT NULL , [CollectionTimeUtc] datetime2(3) NOT NULL , [StatusCode] varchar(40) NOT NULL , [IsPartial] bit NOT NULL , [ReturnedRowCount] bigint NOT NULL , [HasMoreRows] bit NOT NULL , [CrossDatabaseRequested] bit NOT NULL , [SampleSeconds] tinyint NOT NULL , [ErrorNumber] int NULL , [ErrorMessage] nvarchar(2048) NULL",
USP_CurrentIO,files,1,1,1,#CurrentIO_Result,1,"[DatabaseId] int NOT NULL , [DatabaseName] sysname COLLATE SQL_Latin1_General_CP1_CS_AS NOT NULL , [FileId] int NOT NULL , [LogicalName] sysname NULL , [PhysicalName] nvarchar(260) NULL , [FileTypeDesc] nvarchar(60) NULL , [SampleSeconds] int NOT NULL , [Reads] bigint NOT NULL , [ReadBytes] bigint NOT NULL , [ReadStallMs] bigint NOT NULL , [Writes] bigint NOT NULL , [WriteBytes] bigint NOT NULL , [WriteStallMs] bigint NOT NULL , [ReadLatencyMs] decimal(19,3) NULL , [WriteLatencyMs] decimal(19,3) NULL , [OverallLatencyMs] decimal(19,3) NULL , [ReadThroughputMbPerSecond] decimal(19,3) NULL , [WriteThroughputMbPerSecond] decimal(19,3) NULL , [SizeOnDiskMb] decimal(19,2) NULL",Keine I/O-Ergebnisse
USP_CurrentIO,warnings,0,1,1,#CurrentIO_DatabaseCandidateWarnings,1,"[RequestedName] sysname COLLATE SQL_Latin1_General_CP1_CS_AS NULL , [StatusCode] varchar(40) NOT NULL , [ErrorMessage] nvarchar(2048) NULL",
USP_CurrentLog,logs,1,1,1,#CurrentLog_Result,1,"[DatabaseId] int NOT NULL , [DatabaseName] sysname COLLATE SQL_Latin1_General_CP1_CS_AS NOT NULL , [RecoveryModel] nvarchar(60) NULL , [LogReuseWaitDesc] nvarchar(60) NULL , [TotalLogSizeMb] decimal(19,2) NULL , [UsedLogSizeMb] decimal(19,2) NULL , [UsedLogPercent] decimal(19,4) NULL , [LogSinceLastBackupMb] decimal(19,2) NULL , [ActiveVlfCount] bigint NULL , [TotalVlfCount] bigint NULL , [LogTruncationHoldupReason] nvarchar(60) NULL , [LogBackupTime] datetime NULL , [LogRecoverySizeMb] decimal(19,2) NULL , [IsAdrEnabled] bit NULL , [PersistentVersionStoreMb] decimal(19,2) NULL , [SpaceStatus] varchar(40) NOT NULL , [StatsStatus] varchar(40) NOT NULL , [VlfStatus] varchar(40) NOT NULL , [PvsStatus] varchar(40) NOT NULL",Keine Protokollergebnisse
USP_CurrentOverview,moduleStatus,1,1,1,#CurrentOverview_ModuleStatus,1,"[ModuleOrdinal] int NOT NULL , [ResultName] sysname COLLATE SQL_Latin1_General_CP1_CS_AS NOT NULL , [ModuleName] sysname NOT NULL , [StatusCode] varchar(40) NOT NULL , [IsPartial] bit NOT NULL , [ReturnedRowCount] bigint NOT NULL , [DurationMs] bigint NOT NULL , [ErrorMessage] nvarchar(2048) NULL , PRIMARY KEY ([ModuleOrdinal])",Keine aktivierten Module
USP_CurrentOverview,sessions,0,1,1,#CurrentOverview_Sessions,1,[Seed] bit NULL,
USP_CurrentOverview,requests,0,1,1,#CurrentOverview_Requests,1,[Seed] bit NULL,
USP_CurrentOverview,blocking,0,1,1,#CurrentOverview_Blocking,1,[Seed] bit NULL,
USP_CurrentOverview,waits,0,1,1,#CurrentOverview_Waits,1,[Seed] bit NULL,
USP_CurrentOverview,transactions,0,1,1,#CurrentOverview_Transactions,1,[Seed] bit NULL,
USP_CurrentOverview,memoryGrants,0,1,1,#CurrentOverview_MemoryGrants,1,[Seed] bit NULL,
USP_CurrentOverview,tempdbSessions,0,1,1,#CurrentOverview_TempDBSessions,1,[Seed] bit NULL,
USP_CurrentOverview,io,0,1,1,#CurrentOverview_IO,1,[Seed] bit NULL,
USP_CurrentOverview,logs,0,1,1,#CurrentOverview_Logs,1,[Seed] bit NULL,
USP_CurrentOverview,warnings,0,1,1,#CurrentOverview_Warnings,1,"[ModuleName] sysname NOT NULL , [StatusCode] varchar(40) NOT NULL , [Message] nvarchar(2048) NULL",
USP_ObjectInventory,objects,1,1,1,#ObjectInventory_Result,1,"[DatabaseName] sysname NOT NULL , [SchemaName] sysname NOT NULL , [ObjectName] sysname NOT NULL , [ObjectType] varchar(20) NOT NULL , [ObjectId] int NOT NULL , [IsMsShipped] bit NOT NULL , [IsMemoryOptimized] bit NULL , [TemporalTypeDesc] nvarchar(60) NULL , [DurabilityDesc] nvarchar(60) NULL , [CreateDate] datetime NULL , [ModifyDate] datetime NULL , [ObjectRowCount] bigint NULL , [ObjectReservedMb] decimal(19,2) NULL , [ObjectUsedMb] decimal(19,2) NULL , [IndexId] int NULL , [IndexName] sysname NULL , [IndexTypeDesc] nvarchar(60) NULL , [IsUnique] bit NULL , [IsPrimaryKey] bit NULL , [IsUniqueConstraint] bit NULL , [IsDisabled] bit NULL , [IsHypothetical] bit NULL , [HasFilter] bit NULL , [FilterDefinition] nvarchar(max) NULL , [FillFactor] tinyint NULL , [AllowRowLocks] bit NULL , [AllowPageLocks] bit NULL , [OptimizeForSequentialKey] bit NULL , [DataSpaceName] sysname NULL , [PartitionCount] int NULL , [IndexRowCount] bigint NULL , [IndexReservedMb] decimal(19,2) NULL , [IndexUsedMb] decimal(19,2) NULL , [MinCompressionDesc] nvarchar(60) NULL , [MaxCompressionDesc] nvarchar(60) NULL , [HasMixedCompression] bit NULL , [KeyColumns] nvarchar(max) NULL , [IncludedColumns] nvarchar(max) NULL",Keine fachlichen Ergebnisse
