SystemSource,SourceType,Scope,MinimumVersionOrCondition,PermissionGuidance,CostClass,FrameworkModules,Provenance
master.sys.all_objects,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/09_VersionAdaptive/010_USP_ServerFeatureCapabilities.sql,Current canonical code plus sanitized prior research; no historical source paths retained
master.sys.databases,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/082_TVF_DatabaseCandidates.sql | Code/01_Common/083_USP_PrepareDatabaseCandidates.sql | Code/02_CurrentState/010_USP_CurrentSessions.sql | Code/02_CurrentState/020_USP_CurrentRequests.sql | Code/02_CurrentState/030_USP_CurrentBlocking.sql | Code/02_CurrentState/040_USP_CurrentWaits.sql | Code/02_CurrentState/050_USP_CurrentTransactions.sql | Code/02_CurrentState/090_USP_CurrentLog.sql | Code/03_ObjectIndex/010_USP_ObjectInventory.sql | Code/04_PlanCache/010_USP_QueryStats.sql | Code/04_PlanCache/050_USP_ShowplanAnalysis.sql | Code/06_ExtendedEvents/010_USP_ExtendedEventsSessions.sql | Code/06_ExtendedEvents/020_USP_ExtendedEventsReadEvents.sql | Code/06_ExtendedEvents/050_USP_ExtendedEventsTargetRuntime.sql | Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
master.sys.master_files,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/02_CurrentState/080_USP_CurrentIO.sql,Current canonical code plus sanitized prior research; no historical source paths retained
master.sys.objects,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/030_USP_ResourceGovernorAnalysis.sql,Current canonical code plus sanitized prior research; no historical source paths retained
master.sys.schemas,CATALOG_VIEW_OR_TABLE,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/030_USP_ResourceGovernorAnalysis.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.agent_datetime,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.backupmediafamily,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/050_USP_BackupRecovery.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.backupset,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/07_Infrastructure/050_USP_BackupRecovery.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.log_shipping_monitor_primary,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/060_USP_LogShippingStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.log_shipping_monitor_secondary,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/060_USP_LogShippingStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.log_shipping_primary_databases,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/07_Infrastructure/060_USP_LogShippingStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.log_shipping_secondary_databases,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/060_USP_LogShippingStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.restorehistory,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/050_USP_BackupRecovery.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.syscategories,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.sysjobactivity,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.sysjobhistory,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.sysjobs,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/07_Infrastructure/010_USP_AgentStatus.sql | Code/07_Infrastructure/020_USP_AgentJobs.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.sysjobschedules,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.sysjobsteps,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.sysschedules,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/020_USP_AgentJobs.sql,Current canonical code plus sanitized prior research; no historical source paths retained
msdb.dbo.syssessions,MSDB_SYSTEM_OBJECT,SERVER_OR_SYSTEM_DATABASE,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Source-specific access in system database; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/010_USP_AgentStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.allocation_units,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/03_ObjectIndex/010_USP_ObjectInventory.sql | Code/03_ObjectIndex/050_USP_Partitions.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.availability_group_listener_ip_addresses,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/040_USP_AvailabilityGroups.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.availability_group_listeners,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/040_USP_AvailabilityGroups.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.availability_groups,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/07_Infrastructure/040_USP_AvailabilityGroups.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.availability_read_only_routing_lists,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/040_USP_AvailabilityGroups.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.availability_replicas,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/040_USP_AvailabilityGroups.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.change_tracking_databases,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/07_Infrastructure/080_USP_DataCaptureStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.change_tracking_tables,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.column_store_dictionaries,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/03_ObjectIndex/060_USP_Columnstore.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.column_store_row_groups,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2012+,Metadata visibility / VIEW DEFINITION may affect completeness,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/03_ObjectIndex/060_USP_Columnstore.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.column_store_segments,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/03_ObjectIndex/060_USP_Columnstore.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.columns,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/03_ObjectIndex/010_USP_ObjectInventory.sql | Code/03_ObjectIndex/040_USP_Statistics.sql | Code/03_ObjectIndex/060_USP_Columnstore.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.configurations,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/04_PlanCache/030_USP_PlanCacheHealth.sql | Code/06_ExtendedEvents/040_USP_ExtendedEventsBlockedProcesses.sql | Code/08_ServerHealth/030_USP_ServerMemory.sql | Code/08_ServerHealth/040_USP_TempDBConfiguration.sql | Code/08_ServerHealth/050_USP_ServerConfiguration.sql | Code/08_ServerHealth/090_USP_ServerSecurityConfiguration.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.data_spaces,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/03_ObjectIndex/010_USP_ObjectInventory.sql | Code/03_ObjectIndex/050_USP_Partitions.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.database_files,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/02_CurrentState/070_USP_CurrentTempDB.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.database_query_store_options,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,MEDIUM_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/05_QueryStore/010_USP_QueryStoreStatus.sql | Code/05_QueryStore/020_USP_QueryStoreRuntimeStats.sql | Code/05_QueryStore/030_USP_QueryStoreWaitStats.sql | Code/05_QueryStore/040_USP_QueryStorePlanChanges.sql | Code/05_QueryStore/050_USP_QueryStoreRegressions.sql | Code/05_QueryStore/060_USP_QueryStoreForcedPlans.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.database_scoped_configurations,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.databases,CATALOG_VIEW_OR_TABLE,SERVER,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,SQL Server 2019: VIEW SERVER STATE; SQL Server 2022+: VIEW SERVER PERFORMANCE STATE or source-specific security permission; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/02_CurrentState/010_USP_CurrentSessions.sql | Code/02_CurrentState/020_USP_CurrentRequests.sql | Code/02_CurrentState/060_USP_CurrentMemoryGrants.sql | Code/07_Infrastructure/070_USP_ReplicationStatus.sql | Code/07_Infrastructure/080_USP_DataCaptureStatus.sql | Code/09_VersionAdaptive/010_USP_ServerFeatureCapabilities.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.destination_data_spaces,CATALOG_VIEW_OR_TABLE,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/03_ObjectIndex/050_USP_Partitions.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.dm_db_column_store_row_group_physical_stats,DMV_OR_DMF,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/03_ObjectIndex/060_USP_Columnstore.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.dm_db_file_space_usage,DMV_OR_DMF,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.dm_db_incremental_stats_properties,DMV_OR_DMF,DATABASE_OR_CATALOG,SQL Server 2014+,Metadata visibility and SELECT permissions affect rows,LOW_OR_SCOPE_DEPENDENT,Code/03_ObjectIndex/040_USP_Statistics.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.dm_db_index_operational_stats,DMV_OR_DMF,DATABASE_OR_CATALOG,SQL Server 2005+,VIEW DATABASE STATE / version-specific,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/03_ObjectIndex/025_USP_IndexOperationalStats.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.dm_db_index_physical_stats,DMV_OR_DMF,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,HIGH_OR_SCOPE_DEPENDENT,Code/01_Common/020_VW_AnalyseClassCatalog.sql | Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/03_ObjectIndex/070_USP_IndexPhysicalStats.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.dm_db_index_usage_stats,DMV_OR_DMF,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/03_ObjectIndex/020_USP_IndexUsage.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.dm_db_log_info,DMV_OR_DMF,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/020_VW_AnalyseClassCatalog.sql | Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/02_CurrentState/090_USP_CurrentLog.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.dm_db_log_space_usage,DMV_OR_DMF,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/02_CurrentState/090_USP_CurrentLog.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.dm_db_log_stats,DMV_OR_DMF,DATABASE_OR_CATALOG,SQL Server 2016 SP2+,2016-2019 generally VIEW SERVER STATE; 2022+ verify VIEW DATABASE PERFORMANCE STATE,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/02_CurrentState/090_USP_CurrentLog.sql,Current canonical code plus sanitized prior research; no historical source paths retained
sys.dm_db_missing_index_details,DMV_OR_DMF,DATABASE_OR_CATALOG,SQL Server 2019+ baseline; optional/version-specific sources are capability-probed,Metadata visibility and source-specific SELECT/VIEW DATABASE STATE; SQL Server 2022+ may require VIEW DATABASE PERFORMANCE STATE; framework grants none,LOW_OR_SCOPE_DEPENDENT,Code/01_Common/060_VW_FrameworkFeatureCatalog.sql | Code/03_ObjectIndex/030_USP_MissingIndexes.sql,Current canonical code plus sanitized prior research; no historical source paths retained
