WorkItemId,ProductStatus,DeliveredScope,OpenScope,EvidenceReference
DIAG-003,IMPLEMENTED_ACTIONS_GATE,"Canonical source-time-status parameter evidence for single-plan and multi-plan analysis with preserved legacy output and three-version semantic tests","",AI_Metadata/Internal_Documentation/Architecture/Diagnostic_Information_Enrichment_Backlog.md
DIAG-004,IMPLEMENTED_ACTIONS_GATE,"Canonical snapshotStatus requestContext statements batches and inputBuffers contracts plus one invocation-local evidence snapshot consumed by Sessions Requests Blocking Waits Transactions Memory Grants TempDB and IO","",AI_Metadata/Internal_Documentation/Architecture/Diagnostic_Information_Enrichment_Backlog.md
DIAG-005,IMPLEMENTED_ACTIONS_GATE,"Canonical plan warnings optimizer and cache context runtime feedback targeted Query Store context and feedback or variant result sets with provenance privacy and false-positive boundaries","",AI_Metadata/Internal_Documentation/Architecture/Diagnostic_Information_Enrichment_Backlog.md
SQL25-001,IMPLEMENTED_ACTIONS_GATE,"Capability-adaptive Vector-index catalog and real-time background-maintenance evidence with explicit availability permission truncation provenance and false-positive boundaries","",Documentation/Architecture/SQL_Server_2025_Vector_Index_Analysis.md
SQL25-002,IMPLEMENTED_ACTIONS_GATE,"Capability-adaptive JSON-index and SQL/JSON-path metadata integrated into the existing object and capability inventories without reading JSON document values or adding a dedicated procedure","",Documentation/Architecture/SQL_Server_2025_JSON_Index_Inventory.md
SQL25-003,IMPLEMENTED_ACTIONS_GATE,"Capability-adaptive TempDB Resource Governance with stored and effective workload-group limits current and peak use violation and reset evidence plus explicit version permission and file-configuration boundaries","",Documentation/Architecture/SQL_Server_2025_TempDB_Resource_Governance.md
SQL25-004,IMPLEMENTED_ACTIONS_GATE,"Capability-adaptive statistics origin and current database replica-role evidence with explicit temporary primary secondary geo not-recorded partial version and metadata-visibility boundaries","",Documentation/Architecture/SQL_Server_2025_Readable_Secondary_Statistics.md
RUNTIME-001,IMPLEMENTED_EXTERNAL_EVIDENCE_PENDING,"Portable read-only External Runtime and SQL CLR Current-State modules","Platform matrix with activated runtime features and controlled synthetic SAFE assembly evidence",Documentation/Architecture/External_Runtime_CLR_Analysis_Plan.md
SC-023,IMPLEMENTED_ACTIONS_GATE,"Restart-safe performance-counter snapshot baseline slice with installer retention budget and three-version runtime gate","",Documentation/Architecture/Snapshot_Baseline_Package_Contract.md
SC-023-EXPANSION,OPTIONAL_FUTURE,"","Additional collectors rollups and optional scheduler or export packages",Documentation/Architecture/Snapshot_Baseline_Package_Contract.md
LAB-001,PARTIAL_PRODUCT_FUNCTION,"Wellen 0 and 1 Welle 2 Docker CTR-SINGLE baseline and Welle 3 bounded core-performance scenarios exact per-scenario cleanup container restart recovery explicit contract fixture and sequential digest-bound SQL Server 2019 2022 2025 matrix","External native Linux and Hyper-V Linux evidence for Wellen 2 and 3 plus Wellen 4 to 10",Documentation/Architecture/Reproducible_Diagnostic_Lab_Plan.md
