WaveId,ContractStatus,RuntimeStatus,DeliveredScope,OpenScope,EvidenceReference
LAB-001-WAVE0,IMPLEMENTED_AUTOMATED_GATE,NOT_EXECUTED,"Schemas examples resource profiles topology and scenario catalogs complete public Procedure coverage and static privacy cleanup and status validation","Runtime host detection orchestration and SQL Server execution are explicitly excluded",Lab/README.md
LAB-001-WAVE1,IMPLEMENTED_AUTOMATED_GATE,IMPLEMENTED_AUTOMATED_GATE,"Read-only Preflight capability vector execution-mode resolution Run-ID state lock structured local logging configuration resolution Windows Hyper-V Linux Native and explicitly approved RemoteHost adapters secret-provider abstraction Status object-ID-bound Down RecoveryCleanup and WhatIf","Container and SQL Server topology creation scenario execution and external infrastructure evidence remain assigned to Welle 2 and later",Lab/README.md
LAB-001-WAVE2,IMPLEMENTED_ACTIONS_GATE,IMPLEMENTED_EXTERNAL_EVIDENCE_PENDING,"Docker CTR-SINGLE SQL Server 2025 digest-bound Compose runtime installer provisioning LAB-BASE-001 LAB-BASE-002 output assertions Compact reserve and consumption measurement exact label-verified cleanup and visible Hyper-V Linux NOT_EXECUTED lane","Native Linux and Hyper-V Linux external runtime evidence on hosts satisfying the declared capacity contract",Lab/README.md
LAB-001-WAVE3,IMPLEMENTED_ACTIONS_GATE,IMPLEMENTED_EXTERNAL_EVIDENCE_PENDING,"Thirty-eight bounded core-performance runtime action contracts one explicit parallel-deadlock contract fixture fixed seed 1701 transient-evidence alternatives per-scenario timeouts exact scenario cleanup container restart recovery and sequential digest-bound SQL Server 2019 2022 2025 matrix","Native Linux and Hyper-V Linux external runtime evidence for the three-version core-performance matrix",Lab/README.md
LAB-001-WAVE4,PLANNED,NOT_EXECUTED,"","Multi-container network and infrastructure scenarios",Documentation/Architecture/Reproducible_Diagnostic_Lab_Plan.md
LAB-001-WAVE5,PLANNED,NOT_EXECUTED,"","Hyper-V image pipeline",Documentation/Architecture/Reproducible_Diagnostic_Lab_Plan.md
LAB-001-WAVE6,PLANNED,NOT_EXECUTED,"","Windows standalone runtime evidence",Documentation/Architecture/Reproducible_Diagnostic_Lab_Plan.md
LAB-001-WAVE7,PLANNED,NOT_EXECUTED,"","WSFC availability group and FCI runtime evidence",Documentation/Architecture/Reproducible_Diagnostic_Lab_Plan.md
LAB-001-WAVE8,PLANNED,NOT_EXECUTED,"","External runtime CLR and integrity runtime evidence",Documentation/Architecture/Reproducible_Diagnostic_Lab_Plan.md
LAB-001-WAVE9,PLANNED,NOT_EXECUTED,"","Podman compatibility evidence",Documentation/Architecture/Reproducible_Diagnostic_Lab_Plan.md
LAB-001-WAVE10,PLANNED,NOT_EXECUTED,"","Complete external evidence gate and operations contract",Documentation/Architecture/Reproducible_Diagnostic_Lab_Plan.md
